categoria,nome,codigo,preco,estoque,promocao,imagem_url,descricao
Mini Luminária,Mini Luminária SMD 200W,19588,70.0,1,0,imgs/products/prod_62.jpg,
Mini Luminária,Mini Luminária SMD 30W,19642,22.0,1,0,imgs/products/prod_63.jpg,
Mini Luminária,Mini Luminária SMD 50W,19643,29.0,1,0,imgs/products/prod_64.jpg,
Mini Luminária,Mini Luminária SMD 100W,19644,42.0,1,0,imgs/products/prod_65.jpg,
Mini Luminária,Mini Luminária SMD 150W,19645,58.0,1,0,imgs/products/prod_66.jpg,
Mini Luminária,Mini Luminária SMD 200W,19646,72.0,1,0,imgs/products/prod_67.jpg,
Mini Luminária,Mini Luminária COB 50W,19266,35.0,1,0,imgs/products/prod_68.jpg,
Mini Luminária,Mini Luminária COB 100W,19267,65.0,1,0,,
Mini Luminária,Mini Luminária COB 150W,19268,85.0,0,0,imgs/products/prod_70.jpg,
Mini Luminária,Mini Luminária COB 200W,19269,100.0,1,0,imgs/products/prod_71.jpg,
Mini Luminária,Mini Luminária COB 250W,19444,135.0,1,0,imgs/products/prod_72.jpg,
Mini Luminária,Mini Luminária COB 300W,19445,160.0,1,0,imgs/products/prod_73.jpg,
Mini Luminária,Mini Luminária COB 50W 4000K,19436,35.0,1,0,imgs/products/prod_74.jpg,
Mini Luminária,Mini Luminária COB 50W BQ,19437,35.0,1,0,imgs/products/prod_75.jpg,
Mini Luminária,Mini Luminária COB 100W 4000K,19438,65.0,0,0,imgs/products/prod_76.jpg,
Mini Luminária,Mini Luminária COB 100W BQ,19439,65.0,0,0,imgs/products/prod_77.jpg,
Mini Luminária,Mini Luminária COB 150W 4000K,19440,85.0,1,0,imgs/products/prod_78.jpg,
Mini Luminária,Mini Luminária COB 150W BQ,19441,85.0,1,0,imgs/products/prod_79.jpg,
Mini Luminária,Mini Luminária COB 200W 4000K,19442,100.0,1,0,imgs/products/prod_80.jpg,
Mini Luminária,Mini Luminária COB 200W BQ,19443,100.0,1,0,imgs/products/prod_81.jpg,
Luminária com Relé,Luminária SMD Relé 50W DOB,19508,40.0,1,0,imgs/products/prod_82.jpg,
Luminária com Relé,Luminária SMD Relé 100W DOB,19509,65.0,1,0,imgs/products/prod_83.jpg,
Luminária com Relé,Luminária SMD Relé 150W DOB,19510,85.0,1,0,imgs/products/prod_84.jpg,
Luminária com Relé,Luminária SMD Relé 200W DOB,19511,105.0,0,0,imgs/products/prod_85.jpg,
Luminária Pública SMD,Luminária SMD 30W,19545,25.0,1,0,imgs/products/prod_86.jpg,
Luminária Pública SMD,Luminária SMD 50W,19546,32.0,1,0,imgs/products/prod_87.jpg,
Luminária Pública SMD,Luminária SMD 100W,19547,43.0,1,0,imgs/products/prod_88.jpg,
Luminária Pública SMD,Luminária SMD 150W,19548,60.0,1,0,imgs/products/prod_89.jpg,
Luminária Pública SMD,Luminária SMD 200W,19549,75.0,1,0,imgs/products/prod_90.jpg,
Luminária Pública SMD,Luminária SMD 300W,19550,95.0,1,0,imgs/products/prod_91.jpg,
Luminária Pública SMD,Luminária SMD 50W,19474,32.0,1,0,imgs/products/prod_92.jpg,
Luminária Pública SMD,Luminária SMD 100W,19475,50.0,1,0,imgs/products/prod_93.jpg,
Luminária Pública SMD,Luminária SMD 150W,19476,65.0,1,0,imgs/products/prod_94.jpg,
Luminária Pública SMD,Luminária SMD 200W,19477,85.0,1,0,imgs/products/prod_95.jpg,
Luminária Solar,Luminária Solar 50W,22307,55.0,1,1,imgs/products/prod_96.jpg,
Luminária Solar,Luminária Solar 100W,22304,75.0,1,1,imgs/products/prod_97.jpg,
Solar Slim,Luminária Sola Slim 200W,19498,65.0,1,0,imgs/products/prod_98.jpg,
Solar Slim,Luminária Sola Slim 300W,19499,85.0,1,0,imgs/products/prod_99.jpg,
Solar Slim,Luminária Sola Slim 400W,19500,105.0,1,0,imgs/products/prod_100.jpg,
Solar Slim,Luminária Sola Slim 500W,19501,120.0,1,0,imgs/products/prod_101.jpg,
Solar Slim,Luminária Sola Slim 600W,19502,145.0,1,0,imgs/products/prod_102.jpg,
Solar Slim,Luminária Sola Slim 800W,19503,185.0,1,0,imgs/products/prod_103.jpg,
Solar Slim,Luminária Sola Slim 1000W,19504,220.0,1,0,imgs/products/prod_104.jpg,
Solar Slim,Luminária Sola Slim 200W,19523,65.0,1,0,imgs/products/prod_105.jpg,
Solar Slim,Luminária Sola Slim 300W,19524,80.0,1,0,imgs/products/prod_106.jpg,
Solar Slim,Luminária Sola Slim 400W,19525,110.0,1,0,imgs/products/prod_107.jpg,
Solar Slim,Luminária Sola Slim 500W,19526,130.0,1,0,imgs/products/prod_108.jpg,
Solar Slim,Luminária Sola Slim 400W,19623,70.0,1,0,imgs/products/prod_109.jpg,
Solar Slim,Luminária Sola Slim 600W,19624,85.0,1,0,imgs/products/prod_110.jpg,
Solar Slim,Luminária Sola Slim 400W,19625,85.0,1,0,imgs/products/prod_111.jpg,
Solar Slim,Luminária Sola Slim 600W,19626,105.0,1,0,imgs/products/prod_112.jpg,
Solar Slim,Luminária Sola Slim 800W,19627,125.0,1,0,imgs/products/prod_113.jpg,
Solar Slim,Luminária Sola Slim 1000W,19628,145.0,1,0,imgs/products/prod_114.jpg,
Solar Slim,Luminária Sola Slim 400W,19629,165.0,1,0,imgs/products/prod_115.jpg,
Solar Slim,Luminária Sola Slim 600W,19630,195.0,1,0,imgs/products/prod_116.jpg,
Solar Slim,Luminária Sola Slim 1000W,19631,225.0,1,0,imgs/products/prod_117.jpg,
UFO High Bay,UFO High Bay 100W,18011,50.0,1,0,imgs/products/prod_118.jpg,
UFO High Bay,UFO High Bay 150W,18012,85.0,1,0,imgs/products/prod_119.jpg,
UFO High Bay,UFO High Bay 200W,18013,110.0,1,0,imgs/products/prod_120.jpg,
UFO High Bay,UFO High Bay 200W,19574,110.0,1,0,imgs/products/prod_121.jpg,
UFO High Bay,UFO 100W,18077,60.0,1,0,imgs/products/prod_122.jpg,
UFO High Bay,UFO 150W,18078,90.0,1,0,imgs/products/prod_123.jpg,
UFO High Bay,UFO 200W,18079,110.0,0,0,imgs/products/prod_124.jpg,
UFO High Bay,UFO Slim High Bay 100W,19447,45.0,0,0,imgs/products/prod_125.jpg,
UFO High Bay,UFO Slim High Bay 150W,19448,60.0,1,0,imgs/products/prod_126.jpg,
UFO High Bay,UFO Slim High Bay 200W,19449,75.0,1,0,imgs/products/prod_127.jpg,
UFO High Bay,UFO Slim 60W,19473,30.0,0,0,imgs/products/prod_128.jpg,
UFO High Bay,UFO Slim 100W,19133/19461,45.0,0,0,imgs/products/prod_129.jpg,
UFO High Bay,UFO Slim 200W,19134/19462,60.0,0,0,imgs/products/prod_130.jpg,
UFO High Bay,UFO Slim 300W,19135/19463,80.0,0,0,imgs/products/prod_131.jpg,
UFO High Bay,UFO Slim 400W,19136/19464,110.0,0,0,imgs/products/prod_132.jpg,
UFO High Bay,UFO 100W,19589,40.0,0,0,imgs/products/prod_133.jpg,
UFO High Bay,UFO 150W,19590,50.0,0,0,imgs/products/prod_134.jpg,
UFO High Bay,UFO 200W,19591,70.0,0,0,imgs/products/prod_135.jpg,
Refletor Modular,Refletor Modular 50W,19124,45.0,0,0,imgs/products/prod_136.jpg,
Refletor Modular,Refletor Modular 100W,19125,90.0,0,0,,
Refletor Modular,Refletor Modular 150W,19126,135.0,0,0,imgs/products/prod_138.jpg,
Refletor Modular,Refletor Modular 200W,19127,170.0,1,0,,
Refletor Modular,Refletor Modular 250W,19128,220.0,1,0,imgs/products/prod_140.jpg,
Refletor Modular,Refletor Modular 300W,19129,285.0,1,0,imgs/products/prod_141.jpg,
Refletor Modular,Refletor Modular 400W,19130,380.0,1,0,imgs/products/prod_142.jpg,
Refletor Modular,Refletor Modular 500W,19131,460.0,1,0,imgs/products/prod_143.jpg,
Refletor Modular,Refletor Modular 600W,19132,560.0,1,0,imgs/products/prod_144.jpg,
Refletor Modular,Refletor Modular 50W,LK-E 50W-19677,30.0,1,0,imgs/products/prod_145.jpg,
Refletor Modular,Refletor Modular 100W,LK-E 100W-19678,58.0,1,0,imgs/products/prod_146.jpg,
Refletor Modular,Refletor Modular 150W,LK-E 150W-19679,88.0,1,0,imgs/products/prod_147.jpg,
Refletor Modular,Refletor Modular 200W,LK-E 200W-19680,118.0,1,0,imgs/products/prod_148.jpg,
Refletor Modular,Refletor Modular 250W,LK-E 250W-19681,155.0,1,0,imgs/products/prod_149.jpg,
Refletor Modular,Refletor Modular 300W,LK-E 300W-19682,195.0,1,0,imgs/products/prod_150.jpg,
Refletor Modular,Refletor Modular 400W,LK-E 400W-19683,240.0,1,0,imgs/products/prod_151.jpg,
Refletor Modular,Refletor Modular 500W,19684,290.0,1,0,imgs/products/prod_152.jpg,
Refletor Modular,Refletor Modular 600W,19685,340.0,0,0,imgs/products/prod_153.jpg,
Refletor Modular,Refletor Modular 50W BF,19102,19.0,1,1,imgs/products/prod_154.jpg,
Refletor Modular,Refletor Modular 50W Roxo,19298,32.0,1,1,imgs/products/prod_155.jpg,
Refletor Modular,Refletor Modular 50W BF,10052,30.0,0,0,imgs/products/prod_156.jpg,
Refletor Modular,Refletor Modular 50W Rosa,19297,30.0,0,0,imgs/products/prod_157.jpg,
Refletor Modular,Refletor Modular 50W BQ,19292,30.0,0,0,imgs/products/prod_158.jpg,
Refletor Modular,Refletor Modular 50W Vermelho,19293,30.0,1,0,imgs/products/prod_159.jpg,
Refletor Modular,Refletor Modular 50W Verde,19294,30.0,0,0,imgs/products/prod_160.jpg,
Refletor Modular,Refletor Modular 50W Azul,19295,30.0,0,0,imgs/products/prod_161.jpg,
Refletor Modular,Refletor Modular 50W Amarelo,19296,30.0,1,0,imgs/products/prod_162.jpg,
Refletor Modular,Refletor Modular 100W BF,18076,18.0,1,1,imgs/products/prod_163.jpg,
Refletor Modular,Refletor Modular 50W BF,22309,35.0,1,0,imgs/products/prod_164.jpg,
Refletor Modular,Refletor Modular 100W BF,22309-2,75.0,1,0,imgs/products/prod_165.jpg,
Refletor Mudoula,Refletor Mudoula 100W,19258,40.0,1,0,imgs/products/prod_166.jpg,
Refletor Mudoula,Refletor Mudoula 150W,19259,55.0,1,0,imgs/products/prod_167.jpg,
Refletor Mudoula,Refletor Mudoula 200W,19260,68.0,1,0,imgs/products/prod_168.jpg,
Refletor Mudoula,Refletor Mudoula 300W,19261,90.0,1,0,imgs/products/prod_169.jpg,
Refletor Mudoula,Refletor Mudoula 200W,19262,80.0,1,0,imgs/products/prod_170.jpg,
Refletor Mudoula,Refletor Mudoula 300W,19263,105.0,1,0,imgs/products/prod_171.jpg,
Refletor Mudoula,Refletor Mudoula 400W,19264,135.0,0,0,imgs/products/prod_172.jpg,
Refletor Mudoula,Refletor Mudoula 600W,19265,165.0,1,0,imgs/products/prod_173.jpg,
Refletor Solar,Refletor RGB Solar,T8300,80.0,1,0,imgs/products/prod_174.jpg,
Refletor Solar,Refletor RGB Solar,19336,55.0,1,1,imgs/products/prod_175.jpg,
Refletor Solar,Refletor RGB Solar,19337,75.0,1,1,imgs/products/prod_176.jpg,
Refletor Solar,Refletor Solar 100W,19114,75.0,1,1,imgs/products/prod_177.jpg,
Refletor Solar,Refletor Solar 200W,19115,99.0,1,1,imgs/products/prod_178.jpg,
Refletor Solar,Refletor Solar 300W,19116,129.0,1,1,imgs/products/prod_179.jpg,
Refletor Solar,Refletor Solar 100W,19111,75.0,1,1,imgs/products/prod_180.jpg,
Refletor Solar,Refletor Solar 200W,19112,99.0,0,1,imgs/products/prod_181.jpg,
Refletor Solar,Refletor Solar 400W,19118,105.0,1,1,imgs/products/prod_182.jpg,
